tweetId,tweetDate,tweetText,hashtagList,location,numberRetweets,userMentions_userName,attitude,tweetSentiment,,manualSentiment
1.01644E+18,7/9/2018,RT @USDA_NRCS: High tunnels protect plants from severe weather & extend the growing seasons. https://t.co/tUxSmgkJ1B https://t.co/4bXBjFaU9Q,,,15,@USDA_NRCS,positive,neg,,
1.01644E+18,7/9/2018,RT @USDAForeignAg: Five new agricultural officers sworn into foreign service @USDA by FAS Admin. Ken Isley today. They will serve as ag att?,,,4,"@USDAForeignAg,@USDA",positive,pos,,
1.01644E+18,7/9/2018,RT @USDA: The Child and Adult Care Food Program responds to the First Lady?s #GimmeFive challenge! https://t.co/2wmee57S3E https://t.co/N5q?,#GimmeFive,,36,@USDA,positive,pos,,
1.01644E+18,7/9/2018,RT @NECornBoard: Check out the current Nebraska corn conditions. 86% of corn in Nebraska is good or excellent. @USDA https://t.co/6k3r7VaszP,,,4,"@NECornBoard,@USDA",positive,pos,,
1.01644E+18,7/9/2018,"RT @USDA: On his #BackToOurRoots tour last week, @SecretarySonny visited areas of Washington State and Oregon which are restoring #forest l?","#BackToOurRoots,#forest",,12,"@USDA,@SecretarySonny",positive,pos,,
1.01644E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,
1.01644E+18,7/9/2018,RT @BRNAgNews_NH: #Tariff impacts calculated in next @USDA forecast @brownfield #agnews https://t.co/Y1a5KTO5Po,"#Tariff,#agnews",,1,"@BRNAgNews_NH,@USDA,@brownfield",positive,neg,,
1.01644E+18,7/9/2018,Spring #wheat?s quality moved up 3 points to 80% in good-to-excellent condition for the week ending July 8.? https://t.co/SBPZXWLS2h,#wheat,,7,,positive,pos,,
1.01644E+18,7/9/2018,#Soybean crop progress is trending well ahead of recent years. @USDA ,,,,,,pos,,
https://t.co/8i3kSwQKyP https://t.co/M0pMY8Xwna,#Soybean,,6,@USDA,positive,,,error,,
1.01644E+18,7/9/2018,"Physiologically, the #corn crop remains well ahead of recent years, with 37% reaching the silking stage as of July? https://t.co/NHZ5Ir4sMV",#corn,,5,,positive,pos,,
1.01644E+18,7/9/2018,RT @NJDA: We had a great time visiting the Ocean Inc. Child Development Center in Toms River today in the Ocean County College complex to c?,,,2,@NJDA,positive,pos,,
1.01644E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,
1.01644E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,
1.01644E+18,7/9/2018,RT @USDA: Agriculture @SecretarySonny visits Prince of Wales Island in Alaska during his 5th #BackToOurRoots tour. USDA photo by Paul Robbi?,#BackToOurRoots,,13,"@USDA,@SecretarySonny",positive,pos,,
1.01644E+18,7/9/2018,"RT @farmdaily: #Corn rated 75% good-to-excellent,  71% of the #soybean crop in good-to-excellent condition. ",,,,,,pos,,
https://t.co/LKz5Gqattk @usda?,"#Corn,#soybean",,1,"@farmdaily,@USDA",positive,,,error,,
1.01644E+18,7/9/2018,RT @Sheril_: Hey ?@USDA? & ?@SecretarySonny? - I love that you?re working to tackle #foodwaste bc that can have such an enormous impact! Wo?,#foodwaste,,2,"@Sheril_,@USDA,@SecretarySonny",positive,pos,,
1.01643E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,
1.01643E+18,7/9/2018,RT @PibbleLife: Support @capsweb! Call on @USDA to restore public access to its online database of puppy mill inspection reports. #EndPuppy?,,,1,"@PibbleLife,@capsweb,@USDA",positive,pos,,
1.01643E+18,7/9/2018,"RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?",,,609,"@GrowthEnergy,@USDA,@EPA",positive,pos,,
1.01643E+18,7/9/2018,@GrowthEnergy @USDA @EPA #SAVEMOTHEREARTH #RESCUEMOTHEREARTH #SAVEWILDANIMALS #RESCUEMOTHEREARTH #RESCUEANIMALS? https://t.co/hSgOmmJhLa,"#SAVEMOTHEREARTH,#RESCUEMOTHEREARTH,#SAVEWILDANIMALS,#RESCUEMOTHEREARTH,#RESCUEANIMALS",,1,"@GrowthEnergy,@USDA,@EPA",positive,neg,,
1.01643E+18,7/9/2018,"#Corn rated 75% good-to-excellent,  71% of the #soybean crop in good-to-excellent condition.? https://t.co/eKpTE9GInl","#Corn,#soybean",,1,,positive,pos,,
1.01643E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,
1.01643E+18,7/9/2018,RT @USDA: Here's a little pick-me-up for those feeling the Monday blues. #MondayMotivation https://t.co/2kTsoV1xUw,#MondayMotivation,,43,@USDA,positive,neg,,
1.01643E+18,7/9/2018,"RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?",,,609,"@GrowthEnergy,@USDA,@EPA",positive,pos,,
1.01643E+18,7/9/2018,RT @USDAForeignAg: Five new agricultural officers sworn into foreign service @USDA by FAS Admin. Ken Isley today. They will serve as ag att?,,,4,"@USDAForeignAg,@USDA",positive,pos,,
1.01643E+18,7/9/2018,RT @USDA: Learn about USDA #disaster assistance programs that might be right for you by completing 5 simple steps: https://t.co/36ffONmWRl?,#disaster,,13,@USDA,positive,pos,,
1.01643E+18,7/9/2018,@RBReich @ModFarm @GOP @USDA @FarmAid ,,,,,,neg,,
How many farmers are being hurt?,,,1,"@RBReich,@ModFarm,@GOP,@USDA,@FarmAid",positive,,,error,,
1.01643E+18,7/9/2018,@TheCavalryGroup @ele_facts @CityHorsesRock @theresa_mh3940 @RealGreyhound @mamabearwelde   @VoteFiore? https://t.co/Alt0a1h8hm,,,3,"@TheCavalryGroup,@ele_facts,@CityHorsesRock,@theresa_mh3940,@RealGreyhound,@mamabearwelde,@VoteFiore",positive,neg,,
1.01643E+18,7/9/2018,@EPA @EPAAWheeler Please consult with @NASAClimate  @NOAAClimate @NWS @USGS @USDA DOD...for the AMERICAN people now? https://t.co/VYN4r0L3Z7,,,0,"@EPA,@EPAAWheeler,@NASAClimate,@NOAAClimate,@NWS,@USGS,@USDA",positive,neg,,
1.01643E+18,7/9/2018,#Tariff impacts calculated in next @USDA forecast @brownfield #agnews https://t.co/Tqad9efWFZ,"#Tariff,#agnews",,0,"@USDA,@brownfield",positive,neg,,
1.01643E+18,7/9/2018,RT @USDA: Here's a little pick-me-up for those feeling the Monday blues. #MondayMotivation https://t.co/2kTsoV1xUw,#MondayMotivation,,43,@USDA,positive,neg,,
1.01643E+18,7/9/2018,#Tariff impacts calculated in next @USDA forecast @brownfield #agnews https://t.co/Y1a5KTO5Po,"#Tariff,#agnews",,1,"@USDA,@brownfield",positive,neg,,
1.01643E+18,7/9/2018,RT @USDA: Don't let food poisoning crash your #wedding! Check out these tips from @USDAFoodSafety - https://t.co/l5p1szCUVt https://t.co/lp?,#wedding,,13,"@USDA,@USDAFoodSafety",positive,neg,,
1.01643E+18,7/9/2018,Food safety is always important to you and your family. The @USDA has a list of best practices to help you prepare? https://t.co/2gmRsWdPEl,,,0,@USDA,positive,pos,,
1.01643E+18,7/9/2018,"RT @GrowthEnergy: Thank you @SecretarySonny, @SenJoniErnst, and @ChuckGrassley for standing up for farm families and continuing to push for?",,,1430,"@GrowthEnergy,@SecretarySonny,@SenJoniErnst,@ChuckGrassley",positive,pos,,
1.01643E+18,7/9/2018,"Too many fake organic imports hurting USA farmers, @SecretarySonny. Need @USDA to #MAGA the NOP @realDonaldTrump https://t.co/zHcQoQp4bm",#MAGA,,0,"@SecretarySonny,@USDA,@realDonaldTrump",positive,neg,,
1.01643E+18,7/9/2018,@why_waste_food @USDA @WRIFood @ChurchillTrust @envirogov It was great to finally meet in person! Looking forward to seeing your findings.,,,0,"@why_waste_food,@USDA,@WRIFood,@ChurchillTrust,@envirogov",positive,pos,,
1.01643E+18,7/9/2018,Check out the current Nebraska corn conditions. 86% of corn in Nebraska is good or excellent. @USDA https://t.co/6k3r7VaszP,,,4,@USDA,positive,pos,,
1.01643E+18,7/9/2018,RT @TexasVLB: Are you a Texas Veteran interested in farming? The @USDA announced a new partnership with @TAMU @txextension that will help #?,,,13,"@TexasVLB,@USDA,@TAMU,@txextension",positive,pos,,
1.01643E+18,7/9/2018,RT @USDA: Agriculture @SecretarySonny visits Prince of Wales Island in Alaska during his 5th #BackToOurRoots tour. USDA photo by Paul Robbi?,#BackToOurRoots,,13,"@USDA,@SecretarySonny",positive,pos,,
1.01643E+18,7/9/2018,"RT @DartsSquatsDDog: https://t.co/mHrUzPMsaf ? ""I think it's important that we have issues that bridge the divide,"" @RepMikeBishop ""...we'r?",,,2,"@DartsSquatsDDog,@RepMikeBishop",positive,pos,,
1.01643E+18,7/9/2018,RT @Sheril_: Hey ?@USDA? & ?@SecretarySonny? - I love that you?re working to tackle #foodwaste bc that can have such an enormous impact! Wo?,#foodwaste,,2,"@Sheril_,@USDA,@SecretarySonny",positive,pos,,
1.01643E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,
1.01643E+18,7/9/2018,Some food stamp recipients may soon lose access to farmers markets ? important story by @jane_black @leahjdouglas f? https://t.co/flYubFmR75,,,0,"@jane_black,@leahjdouglas",positive,pos,,
1.01643E+18,7/9/2018,awesome news @USDA @TAMU @txextension!  Thank you! https://t.co/9VUnXBjNQ7,,,0,"@USDA,@TAMU,@txextension",positive,pos,,
1.01642E+18,7/9/2018,@codepted @USDA @deltaschools Hold the round up,,,0,"@codepted,@USDA,@deltaschools",positive,neg,,
1.01642E+18,7/9/2018,RT @hort4cy: Doing my duty today. Our local @usdafsa is a busy place today. #certify2018 https://t.co/QDBa5BdXeE,#certify2018,,1,"@hort4cy,@usdafsa",positive,neg,,
1.01642E+18,7/9/2018,RT @BetcoCorp: A recent study from the @USDA shows that 97% of people who wash their hands are doing it wrong. ,,,,,,pos,,
Change your handwashing be?,,,1,"@BetcoCorp,@USDA",positive,,,error,,
1.01642E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,
1.01642E+18,7/9/2018,"RT @sarasotaschools: LET'S EAT! Did you know, more than half of our students are eligible for free & reduced lunches? This summer, ALL Sara?",,,1,@sarasotaschools,positive,pos,,
1.01642E+18,7/9/2018,RT @arielwaldman: The Now: opportunistic detour while getting approval to apply for @USDA permits. https://t.co/UzTg6pHUT5,,,1,"@arielwaldman,@USDA",positive,neg,,
1.01642E+18,7/9/2018,@Sheril_ @USDA @SecretarySonny It could of had urine in it. Or spit. Or pubic hair. This type of behavior by restau? https://t.co/XkMgiVf0Gn,,,0,"@Sheril_,@USDA,@SecretarySonny",positive,neg,,
1.01642E+18,7/9/2018,"RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?",,,609,"@GrowthEnergy,@USDA,@EPA",positive,pos,,
1.01642E+18,7/9/2018,@USDA https://t.co/0CWMMVW251 Hi click on & read through tweet after tweet after another till arrive at worded summ? https://t.co/D0D39lijt7,,,0,@USDA,positive,pos,,
1.01642E+18,7/9/2018,RT @NECornBoard: 31% of #Nebraska #Corn is silking compared to 13% last year at this time. @USDA https://t.co/pBPAkOPPb7,"#Nebraska,#Corn",,5,"@NECornBoard,@USDA",positive,pos,,
1.01642E+18,7/9/2018,@iamUSA69 @realDonaldTrump @federalreserve @POTUS @VP @GOP @hrw @USSenate @USDA @Interior @CIA I remember my first hashtag,,,1,"@iamUSA69,@realDonaldTrump,@federalreserve,@POTUS,@VP,@GOP,@hrw,@USSenate,@USDA,@Interior,@CIA",positive,pos,,
1.01642E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,
1.01642E+18,7/9/2018,The Now: opportunistic detour while getting approval to apply for @USDA permits. https://t.co/UzTg6pHUT5,,,1,@USDA,positive,neg,,
1.01642E+18,7/9/2018,Hey ?@USDA? & ?@SecretarySonny? - I love that you?re working to tackle #foodwaste bc that can have such an enormous? https://t.co/WyJhrDq4Qr,#foodwaste,,2,"@USDA,@SecretarySonny",positive,pos,,
1.01642E+18,7/9/2018,RT @USDA: Learn about USDA #disaster assistance programs that might be right for you by completing 5 simple steps: https://t.co/36ffONmWRl?,#disaster,,13,@USDA,positive,pos,,
1.01642E+18,7/9/2018,RT @EggSafetyCenter: DYK hands need to be washed for a least 20 seconds to prevent cross-contamination after handling raw eggs or meat?  Le?,,,1,@EggSafetyCenter,positive,neg,,
1.01642E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,
1.01642E+18,7/9/2018,"RT @GrowthEnergy: As June 1 marks the beginning of fuel restrictions on E15, leaders across the heartland are urging @USDA to push @EPA to?",,,609,"@GrowthEnergy,@USDA,@EPA",positive,pos,,
1.01642E+18,7/9/2018,RT @NECornBoard: 31% of #Nebraska #Corn is silking compared to 13% last year at this time. @USDA https://t.co/pBPAkOPPb7,"#Nebraska,#Corn",,5,"@NECornBoard,@USDA",positive,pos,,
1.01642E+18,7/9/2018,RT @USDA: Here's a little pick-me-up for those feeling the Monday blues. #MondayMotivation https://t.co/2kTsoV1xUw,#MondayMotivation,,43,@USDA,positive,neg,,
1.01642E+18,7/9/2018,"RT @peta: Enough is enough, @utmbhealth! ? @USDA documents reveal more violations at the university, including an incident where five guine?",,,47,"@peta,@utmbhealth,@USDA",positive,neg,,
1.01642E+18,7/9/2018,Soil colleagues would love your underground perspective on this phenomenon; something to do with centuries of missi? https://t.co/zuctvTH8si,,,0,,positive,pos,,
1.01642E+18,7/9/2018,Be sure to check out the latest Crop Progress Report released by the @USDA  and #NASS https://t.co/KiAmjuA1Vz,#NASS,,0,@USDA,positive,neg,,
1.01642E+18,7/9/2018,@peta @utmbhealth @USDA  https://t.co/nsC8dlDoQH,,,0,"@peta,@utmbhealth,@USDA",positive,neg,,
